state,gunmurder,gunrate,violent,murderslaughter,rape,rob,aggrevated,property,burg,larc,motor,gdpcap,density,borderchainav,population,gunreg,guncap,gini,poverty,nongun,educ,agemurder,urban,female,divorce,alc,state,mentalrank
Alabama,2.8,48.9,449.9,7.2,26.9,104.1,311.8,3502.2,984.7,2312.8,204.8,37261,37,41,4874747,161641,33.15884906,0.472,19.2,4.4,23.5,17.79,59,51.5,4.3,1.99,Alabama,50
Alaska,5.3,61.7,603.2,8,79.7,86.1,433.2,2739.4,403.3,2128,208.1,63971,0,NA,739795,15824,21.38970931,0.422,11.4,2.7,28,19.59,66,48,4.8,2.84,Alaska,25
Arizona,2.5,32.3,428.9,4.5,34.7,112.7,276,3539.2,807.8,2439.1,292.3,38590,23,33.7,7016270,179738,25.61731518,0.455,18.2,2,27.5,14.2,89.8,50.3,3.9,2.34,Arizona,43
Arkansas,3.7,57.9,469.1,6.1,42.3,78.7,342.3,3660.1,1081.3,2384.7,194.1,36368,22,43.96666667,3004279,79841,26.57576077,0.458,18.7,2.4,21.1,16.93,56.2,50.9,5.3,1.83,Arkansas,44
California,3.3,20.1,423.1,4.8,20.6,148.6,248.9,2758.7,646.1,1669.5,443.2,58619,97,34.9,39536653,344622,8.716519327,0.471,16.4,1.5,31.4,7.89,95.2,50.3,4.3,2.27,California,38
Colorado,2.1,34.3,308.9,3.2,40.7,65.4,199.6,2684.7,504.2,1947.4,233.1,52795,20,41.87142857,5607154,92435,16.48519017,0.457,12.1,1.1,38.1,11.75,86.2,49.9,4.4,2.77,Colorado,15
Connecticut,2,16.6,283,3.3,25.6,102.7,150.6,2140,409.7,1550.7,179.6,64511,286,14.46666667,3588184,82400,22.9642627,0.486,10.8,1.3,37.6,4.48,88,51.3,3.1,2.41,Connecticut,8
Delaware,5.5,5.2,547.4,6.7,26.5,162.7,352,3340.9,803.7,2380.6,156.6,63664,187,22.76666667,961939,4852,5.04397888,0.44,13,1.2,30,10.8,83.3,51.6,3.6,3.68,Delaware,13
Florida,3.9,32.5,487.1,5.1,27.2,123.7,330.9,3276.7,794.9,2288.6,193.2,39543,245,46,20984400,343622,16.37511675,0.474,16.6,1.2,27.3,12.49,91.2,51.1,4.5,2.6,Florida,41
Georgia,4.5,31.6,378.9,6,21.4,125.6,226,3410.6,874.9,2248,287.7,44723,68,40.74,10429379,19050,1.826570882,0.468,18.4,1.5,28.8,12.63,75.1,51.2,,1.95,Georgia,42
Hawaii,0.3,45.1,239.2,1.3,20.5,74.7,141.9,3075.2,573.1,2243.2,258.9,51277,86,NA,1427538,7859,5.505282521,0.433,11.5,1,30.8,2.71,91.9,49.9,,2.59,Hawaii,29
Idaho,1.5,56.6,207.9,1.9,30,15.2,160.9,1983.5,450.3,1447.7,85.5,35466,7,44.66666667,1716943,49533,28.84953082,0.433,14.8,0.4,25.9,14.08,70.6,49.9,4,2.86,Idaho,40
Illinois,3.4,26.2,414.8,5.8,27.7,151.2,230,2578.7,552.2,1826.9,199.5,54091,89,42.36666667,12802023,146487,11.44248843,0.465,14.3,2.4,32.3,8.67,88.5,51,,2.36,Illinois,30
Indiana,3.2,33.8,345.7,5.6,25.5,100.9,214.6,3029.2,728.3,2092,209,45317,71,34.675,6666818,114019,17.10246177,0.44,15.2,2.4,24.1,13.04,72.4,50.8,,2.13,Indiana,21
